loannumber,loanamount,totaldue,termdays,approved_year,approved_month,approved_day,approved_day_of_week,approved_hour,created_year,created_month,created_day,created_day_of_week,created_hour,"Fraud = 0, no Fraud = 1"
12,30000.0,34500.0,30,2017,7,25,1,8,2017,7,25,1,7,1
2,15000.0,17250.0,30,2017,7,5,2,17,2017,7,5,2,16,1
7,20000.0,22250.0,15,2017,7,6,3,14,2017,7,6,3,13,1
3,10000.0,11500.0,15,2017,7,27,3,19,2017,7,27,3,18,1
9,40000.0,44000.0,30,2017,7,3,0,23,2017,7,3,0,22,1
8,30000.0,39000.0,60,2017,7,19,2,21,2017,7,19,2,20,1
3,10000.0,13000.0,30,2017,7,10,0,19,2017,7,10,0,18,1
10,30000.0,34500.0,30,2017,7,24,0,23,2017,7,24,0,22,1
4,10000.0,11500.0,15,2017,7,26,2,10,2017,7,26,2,9,1
2,10000.0,11500.0,15,2017,7,17,0,13,2017,7,17,0,12,1
2,10000.0,13000.0,30,2017,7,3,0,23,2017,7,3,0,22,1
3,10000.0,13000.0,30,2017,7,2,6,21,2017,7,2,6,20,0
2,10000.0,11500.0,15,2017,7,28,4,7,2017,7,28,4,6,1
11,40000.0,44000.0,30,2017,7,25,1,16,2017,7,25,1,15,1
13,40000.0,44000.0,30,2017,7,18,1,11,2017,7,18,1,9,1
3,10000.0,13000.0,30,2017,7,7,4,12,2017,7,7,4,11,1
3,10000.0,11500.0,15,2017,7,1,5,11,2017,7,1,5,10,1
2,10000.0,11500.0,15,2017,7,24,0,14,2017,7,24,0,13,0
15,40000.0,44000.0,30,2017,7,19,2,8,2017,7,19,2,7,1
10,30000.0,34500.0,30,2017,7,1,5,21,2017,7,1,5,20,1
3,10000.0,13000.0,30,2017,7,5,2,7,2017,7,5,2,6,1
2,10000.0,11500.0,15,2017,7,30,6,13,2017,7,30,6,12,0
7,25000.0,28750.0,30,2017,7,13,3,17,2017,7,13,3,16,1
3,10000.0,13000.0,30,2017,7,11,1,17,2017,7,11,1,16,1
2,10000.0,13000.0,30,2017,7,27,3,16,2017,7,27,3,15,1
3,10000.0,13000.0,30,2017,7,4,1,13,2017,7,4,1,12,1
4,20000.0,24500.0,30,2017,7,1,5,18,2017,7,1,5,17,1
2,10000.0,11500.0,15,2017,7,17,0,10,2017,7,17,0,9,1
5,20000.0,22250.0,15,2017,7,17,0,10,2017,7,17,0,9,1
6,10000.0,13000.0,30,2017,7,11,1,9,2017,7,11,1,8,0
2,10000.0,13000.0,30,2017,7,6,3,11,2017,7,6,3,10,1
5,20000.0,24500.0,30,2017,7,21,4,15,2017,7,21,4,14,1
10,20000.0,24500.0,30,2017,7,28,4,21,2017,7,28,4,20,1
